prefixes	len	meaning	examples	paired words	POS pair	immediate viability	notes
hypo	4	beneath, down, less than usual, under	hypoallergenic, hypocritical, hypotension	allergenic, critical, tension	any	yes	
infra	5	below, within	infrastructure, infraspecific, infrasonic	structure, specific, sonic	any	yes	
inter	5	among, between, between the limits of, carried on between, derived from two or more, existing between, in the midst of, involving, located between, occurring between, reciprocal or reciprocally, shared by, within	interchangeable, intertwinement, international	changeable, twinement, national	any	yes	
intra	5	between layers of, during, within	intramolecular, intragalactic, intracranial	molecular, galactic, cranial	any	yes	
intro	5	in, into, inward, within	introversion, introversive, introvert	version, -versive, -vert	any	yes	
macro	5	large, long	macrophotograph, macroeconomics, macrocyclic	photograph, economics, cyclic	any	yes	
mega	4	great, large, million, surpassing	megaproject, megapixel, megaphonic	project, pixel, phonic	any	yes	
meta	4	after, behind, beyond, change, later, transcending, transformation	metamathematics, metamorphosing, metafictional	mathematics, morphosing, fictional	any	yes	
micro	5	abnormally small, millionth, minute, pertaining to a minute qualities or a small area, small	microphotograph, microinjection, microstructure	photograph, injection, structure	any	yes	
mid	3	in the middle or the midst	midfielder, midsection, midstream	fielder, section, stream	any	yes	
mini	4	briefer, smaller	minicomputer, minicourse, minibus	computer, course, bus	any	yes	
mis	3	bad or badly, opposite of, not, suspiciously, unfavorably, wrong or wrongly; hatred	mischaracterize, miscorrelation, misdistribution	characterize, correlation, distribution	any	yes	
mono	4	alone, one, single	monounsaturated, monopropellants, monochromatic	unsaturated, propellants, chromatic	any	yes	
multi	5	many, many times over, more than one or two, multiple, much	multiprocessing, multifunctional, multidiscipline	processing, functional, discipline	any	yes	
omni	4	all, universally	omnidirectional, omnicompetence, omnipresent	directional, competence, present	any	yes	
over	4	excessive, surpassing	overrepresented, oversensitivity, overfamiliarity	represented, sensitivity, familiarity	any	yes	
para	4	abnormal, accessory, almost, alongside of, aside from, beside, beyond, faulty, related, resembling, subsidiary; parachute	paralinguistic, paramagnetism, parasynthetic	linguistic, magnetism, synthetic	any	yes	
philo	5	attracted to, enjoying, loving, requiring	philologically, philodendron, philosophy	logically, dendron, -sophy	any	yes	
phono	5	sound, speech, voice	phonocardiogram, phonogramically, phonological	cardiogram, gramically, logical	any	yes	
photo	5	light, radiant energy	photojournalism, photosynthesize, photoconductive	journalism, synthesize, conductive	any	yes	
poly	4	excessive, increased, many, much, multiple, several	polycrystalline, polymorphically, polyembryonic	crystalline, morphically, embryonic	any	yes	
post	4	after, behind, following, later, posterior, subsequent	posttransfusion, postproduction, posttraumatic	transfusion, production, traumatic	any	yes	
pre	3	anterior to, before, beforehand, earlier than, in advance, in front of, preparatory to, prerequisite to, prior to	preregistration, preadolescence, predetermining	registration, adolescence, determining	any	yes	
pro	3	anterior, before, earlier than, in front of, precursory, prior to, projecting, rudimentary; championing, favoring, substituting for, supporting	pronunciation, propositional, provisional	nunciation, positional, visional	any	yes	
proto	5	beginning, first, giving rise to, primary	protohistorian, protolanguage, protohistoric	historian, language, historic	any	yes	
semi	4	half in quantity or time, or halfway through, incomplete or incompletely, partly, similar to	semitransparent, semicrystalline, semiconductor	transparent, crystalline, conductor	any	yes	
sub	3	almost, below, beneath, nearly, secondary, somewhat, subordinate, under,	suborganization, subnormality, subdiscipline	organization, normality, discipline	any	yes	
super	5	above, exceeding, extra, higher, more than, on, over and above, superior, surpassing, transcending	superconducting, supernaturalism, superplasticity	conducting, naturalism, plasticity	any	yes	
sym	3	at the same time, the same, together, united, with or along with	symphonically, symmetallism, sympathetic	phonically, metallism, pathetic	any	yes	
syn	3	at the same time, the same, together, united, with or along with	synchronisation, synchronically, synecology	chronisation, chronically, ecology	any	yes	
tele	4	distant; completion, end	telephotography, teleconference, telemarketing	photography, conference, marketing	any	yes	
thermo	6	heat, thermoelectric	thermochemistry, thermodynamical, thermoregulate	chemistry, dynamical, regulate	any	yes	
trans	5	across, beyond, changed, through, transferred	transhistorical, transpositional, transformation	historical, positional, formation	any	yes	
tri	3	into thirds, every third, three, thrice	tridimensional, triphosphate, trichromatic	dimensional, phosphate, chromatic	any	yes	
ultra	5	beyond, transcending	ultrafiltration, ultraconvenient, ultramodernist	filtration, convenient, modernist	any	yes	
un	2	contrary to, not, opposite of; deprive of, release, remove, reverse	unsubstantiated, unreconstructed, unaccommodating	substantiated, reconstructed, accommodating	any	yes	
under	5	below, beneath, facing downward, lower, short of, subjected, subordinate	underprivileged, underestimation, understatement	privileged, estimation, statement	any	yes	
uni	3	one, single	unidirectional, unicellular, uniform	directional, cellular, form	any	yes	
